
g = 8
  62.  a-seq=[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 12, 12, 13, 13, 14, 14, 15]  sum=189  Isog=[4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]
  63.  a-seq=[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13, 13, 14, 15]  sum=190  Isog=[5, 4, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1]
  64.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12, 12, 13, 14, 14, 15]  sum=207  Isog=[5, 5, 5, 4, 3, 2, 1, 1, 1, 1]
  65.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 9, 10, 10, 11, 11, 12, 12, 13, 14, 14, 15]  sum=198  Isog=[5, 4, 3, 3, 3, 3, 3, 2, 1, 1]
  66.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15]  sum=183  Isog=[4, 4, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1]
  67.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13, 14, 15, 15]  sum=184  Isog=[4, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]
  68.  a-seq=[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13, 14, 14, 15, 15]  sum=185  Isog=[4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1]
  69.  a-seq=[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13, 14, 14, 15, 15]  sum=186  Isog=[4, 4, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1]
  70.  a-seq=[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12, 12, 13, 14, 15]  sum=187  Isog=[4, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1]
  71.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 10, 10, 11, 11, 12, 12, 13, 14]  sum=168  Isog=[4, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
