
g = 7
  30.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 13]  sum=130  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  31.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12]  sum=117  Isog=[4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1]
  32.  a-seq=[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 13]  sum=118  Isog=[4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1]
  33.  a-seq=[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 12, 12, 13]  sum=119  Isog=[4, 4, 3, 3, 2, 1, 1, 1, 1, 1]
  34.  a-seq=[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 8, 8, 9, 10, 11, 12, 13]  sum=127  Isog=[4, 4, 4, 3, 2, 1, 1, 1, 1]
  35.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13]  sum=124  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  36.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 12]  sum=111  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  37.  a-seq=[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13]  sum=112  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  38.  a-seq=[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 6, 7, 8, 8, 9, 10, 12, 12, 13]  sum=113  Isog=[3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1]
  39.  a-seq=[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13]  sum=114  Isog=[4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1]
  40.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 9, 10, 10, 11, 12, 13]  sum=112  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  41.  a-seq=[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 7, 9, 10, 11, 12, 13, 13]  sum=113  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  42.  a-seq=[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 7, 8, 10, 12, 12, 13, 13]  sum=114  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  43.  a-seq=[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 6, 7, 8, 9, 9, 10, 12, 13, 13]  sum=115  Isog=[4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1]
  44.  a-seq=[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 7, 8, 11, 12, 12, 12, 13]  sum=114  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  45.  a-seq=[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 7, 7, 8, 11, 12, 12, 13, 13]  sum=115  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  46.  a-seq=[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 6, 7, 8, 9, 10, 10, 12, 13, 13]  sum=116  Isog=[4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1]
  47.  a-seq=[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 8, 11, 11, 12, 12, 13]  sum=116  Isog=[3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]
  48.  a-seq=[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 9, 10, 11, 11, 12, 13]  sum=117  Isog=[4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1]
  49.  a-seq=[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 12, 13]  sum=132  Isog=[4, 4, 4, 3, 2, 1, 1, 1, 1]
  50.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 6, 7, 9, 10, 10, 11, 12, 12, 13]  sum=125  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  51.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 9, 10, 10, 11, 12, 13]  sum=112  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  52.  a-seq=[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 13]  sum=113  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  53.  a-seq=[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 7, 8, 9, 10, 12, 12, 13, 13]  sum=114  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  54.  a-seq=[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 7, 7, 8, 8, 9, 10, 11, 12, 13]  sum=115  Isog=[3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]
  55.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 6, 7, 10, 10, 11, 12]  sum=99  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  56.  a-seq=[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 6, 7, 9, 10, 11, 12, 13]  sum=100  Isog=[3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
  57.  a-seq=[0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 5, 7, 7, 8, 10, 12, 12, 13]  sum=101  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  58.  a-seq=[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 7, 8, 9, 9, 10, 12, 13]  sum=102  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  59.  a-seq=[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 11, 12, 12, 13]  sum=101  Isog=[3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
